,asin,name,category,description,price,rating,No_of_Rating
0,B000C219LA,"Aviance Night Musk By Prince Matchabelli for Women Cologne Spray, 2.6-Ounce",Fragrance,"Brand   Prince Matchabelli     Item Form   Spray     Item Volume   75 Milliliters     Scent   AVIANCE NIGHT MUSK, Prince Matchabelli     Age Range (Description)   Adult",Page 1 of 1,4.1 out of 5 stars,104 ratings
1,B000P275RY,Curve By Liz Claiborne For Women. Eau De Toilette Spray 6.8 oz,Fragrance,"Brand   LIZ CLAIBORNE     Item Form   Spray     Item Volume   6.8 Fluid Ounces     Scent   CURVE, Liz Claiborne     Age Range (Description)   Adult",Page 1 of 7,4.3 out of 5 stars,132 ratings
