EAR,MAR,TIME
0.32621159194520233,0.03333333333333333,21:43:51.684584
0.32621159194520233,0.03333333333333333,21:43:51.684584
0.28589324021825024,0.03333333333333333,21:43:52.769368
0.32621159194520233,0.03333333333333333,21:43:51.684584
0.28589324021825024,0.03333333333333333,21:43:52.769368
0.27948322034003487,0.06666666666666667,21:43:53.268084
0.32621159194520233,0.03333333333333333,21:43:51.684584
0.28589324021825024,0.03333333333333333,21:43:52.769368
0.27948322034003487,0.06666666666666667,21:43:53.268084
0.31533950337213623,0.3,21:43:53.793782
0.32621159194520233,0.03333333333333333,21:43:51.684584
0.28589324021825024,0.03333333333333333,21:43:52.769368
0.27948322034003487,0.06666666666666667,21:43:53.268084
0.31533950337213623,0.3,21:43:53.793782
0.3348277592197427,0.20786893258332634,21:43:54.311489
0.32621159194520233,0.03333333333333333,21:43:51.684584
0.28589324021825024,0.03333333333333333,21:43:52.769368
0.27948322034003487,0.06666666666666667,21:43:53.268084
0.31533950337213623,0.3,21:43:53.793782
0.3348277592197427,0.20786893258332634,21:43:54.311489
0.3245303790131808,0.23333333333333334,21:43:54.770223
0.32621159194520233,0.03333333333333333,21:43:51.684584
0.28589324021825024,0.03333333333333333,21:43:52.769368
0.27948322034003487,0.06666666666666667,21:43:53.268084
0.31533950337213623,0.3,21:43:53.793782
0.3348277592197427,0.20786893258332634,21:43:54.311489
0.3245303790131808,0.23333333333333334,21:43:54.770223
0.3152479702165244,0.20786893258332634,21:43:55.155470
0.32621159194520233,0.03333333333333333,21:43:51.684584
0.28589324021825024,0.03333333333333333,21:43:52.769368
0.27948322034003487,0.06666666666666667,21:43:53.268084
0.31533950337213623,0.3,21:43:53.793782
0.3348277592197427,0.20786893258332634,21:43:54.311489
0.3245303790131808,0.23333333333333334,21:43:54.770223
0.3152479702165244,0.20786893258332634,21:43:55.155470
0.3245303790131808,0.23333333333333334,21:43:55.409324
0.32621159194520233,0.03333333333333333,21:43:51.684584
0.28589324021825024,0.03333333333333333,21:43:52.769368
0.27948322034003487,0.06666666666666667,21:43:53.268084
0.31533950337213623,0.3,21:43:53.793782
0.3348277592197427,0.20786893258332634,21:43:54.311489
0.3245303790131808,0.23333333333333334,21:43:54.770223
0.3152479702165244,0.20786893258332634,21:43:55.155470
0.3245303790131808,0.23333333333333334,21:43:55.409324
0.30388851099109876,0.21573786516665266,21:43:55.667198
0.32621159194520233,0.03333333333333333,21:43:51.684584
0.28589324021825024,0.03333333333333333,21:43:52.769368
0.27948322034003487,0.06666666666666667,21:43:53.268084
0.31533950337213623,0.3,21:43:53.793782
0.3348277592197427,0.20786893258332634,21:43:54.311489
0.3245303790131808,0.23333333333333334,21:43:54.770223
0.3152479702165244,0.20786893258332634,21:43:55.155470
0.3245303790131808,0.23333333333333334,21:43:55.409324
0.30388851099109876,0.21573786516665266,21:43:55.667198
0.2981551189478203,0.20786893258332634,21:43:55.917036
0.32621159194520233,0.03333333333333333,21:43:51.684584
0.28589324021825024,0.03333333333333333,21:43:52.769368
0.27948322034003487,0.06666666666666667,21:43:53.268084
0.31533950337213623,0.3,21:43:53.793782
0.3348277592197427,0.20786893258332634,21:43:54.311489
0.3245303790131808,0.23333333333333334,21:43:54.770223
0.3152479702165244,0.20786893258332634,21:43:55.155470
0.3245303790131808,0.23333333333333334,21:43:55.409324
0.30388851099109876,0.21573786516665266,21:43:55.667198
0.2981551189478203,0.20786893258332634,21:43:55.917036
0.3262499239418505,0.2,21:43:56.225858
0.32621159194520233,0.03333333333333333,21:43:51.684584
0.28589324021825024,0.03333333333333333,21:43:52.769368
0.27948322034003487,0.06666666666666667,21:43:53.268084
